Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C18, C20, C4, C6, C9",0402,13,100nF,C1525
"C10, C7",0402,2,1uF,C52923
"C19, C21, C22, C23, C5, C8",0603,6,10uF,C96446
"C2, C3",0402,2,15pF,C1555
"D1, D2, D3, D4, D5",0402,5,D_TVS,C468904
J2,0.3K-HX-45PWB,1,0.3K-HX-45PWB,
"R1, R3",0402,2,1k,C11702
R2,0603,1,330k,C23137
"R4, R5",0402,2,27,C138021
"R6, R7, R8, R9",0402,4,100,C25076
U1,SON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ ,C2843335
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP23S17_ML,C629442
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12.000MHz,C9002
