Designator,Mid X,Mid Y,Rotation,Layer
C1,139.67,-152.019,180.0,bottom
C10,137.765,-143.129,180.0,bottom
C11,137.765,-146.685,180.0,bottom
C12,134.717,-153.035,270.0,bottom
C13,135.098,-141.605,90.0,bottom
C14,131.034,-153.035,270.0,bottom
C15,120.6552,-153.2408,270.0,bottom
C16,131.034,-141.605,90.0,bottom
C17,126.335,-147.193,0.0,bottom
C18,59.055,-135.128,90.0,bottom
C19,90.678,-141.224,90.0,bottom
C2,123.414,-150.622,0.0,bottom
C20,79.121,-137.414,0.0,bottom
C21,58.801,-132.461,270.0,bottom
C22,92.456,-141.224,90.0,bottom
C23,94.234,-141.224,90.0,bottom
C3,123.414,-145.288,180.0,bottom
C4,126.335,-146.177,0.0,bottom
C5,127.127,-154.94,0.0,bottom
C6,137.765,-147.701,180.0,bottom
C7,137.765,-145.161,180.0,bottom
C8,136.652,-154.94,180.0,bottom
C9,137.765,-144.145,180.0,bottom
D1,134.112,-155.194,180.0,bottom
D2,129.256,-154.686,270.0,bottom
D3,140.208,-155.194,180.0,bottom
D4,142.494,-155.194,0.0,bottom
D5,133.701,-153.035,90.0,bottom
J2,68.544444,-133.3864,0.0,bottom
R1,137.765,-153.035,0.0,bottom
R2,131.445,-155.194,0.0,bottom
R3,126.335,-148.209,180.0,bottom
R4,140.051,-146.304,0.0,bottom
R5,140.051,-145.288,0.0,bottom
R6,121.976,-154.2796,90.0,bottom
R7,126.3448,-149.6568,0.0,bottom
R8,123.4492,-154.2796,90.0,bottom
R9,124.9224,-154.2816,90.0,bottom
U1,138.654,-150.241,180.0,bottom
U2,132.05,-147.32,180.0,bottom
U3,115.9504,-152.1533,90.0,bottom
Y1,123.414,-147.955,270.0,bottom
